listing_id,id,date,reviewer_id,reviewer_name,comments
48867583,412950002433755528,2021-07-23,4286514,Brett,"Very nice place – great bar, workout room, and pool."
5873238,1303083576906699593,2024-12-02,339252274,Axton,quiet quaint cute
21148947,1277682205808252403,2024-10-28,590287279,Dylan,"The place was not cleaned before our arrival. The owner and host were very apologetic and sent a maid service immediately and waived the cleaning fee. Upon our arrival I did not hear from the host about the door code to get inside. Had to wait a little bit before the owner showed up and the door code was given. Normally I feel like we should have that info before arriving. Other than the arrival issue and the cleaning issue, the host and owner were very nice and accommodating. The house was perfect for what we needed it for."
29302404,1383459793796145354,2025-03-23,2693671,Maria,"We had a great 2-night stay at this place. For those worrying about privacy, the top floor has 3 rooms: bedroom, living space and bathroom; all three have doors; additionally, the staircase is designed so that no one can see anything at the top unless they come up. Noise carries, of course, it's someone's house, but the hosts are conscious of that and it was quiet by 10 or so. The area itself is very quiet, a nice getaway from the noise of downtown. A cool bar/restaurant around the corner and 2-3 min drive to some excellent cafes (try freeweeling' coffee!). For us, the price is worth the location and quiet. Comfy bed with extra pillows, great shower."
202187,1512782,2012-06-18,2639500,Cynthia,"This apartment is super cute and is in a great location right next to south congress.  walking distance to shopping and food trucks!  The reason i give it 4 stars is that the bed was quite uncomfortable.  My boyfriend and i both tossed and turned and woke up sore.  Other than that the amenities are nice, small fridge, and microwave and basic dishes if you just want to stay in for the night and hang out.  Neighborhood is also really quiet!  that was great!"
12308357,705033892043041343,2022-08-30,239117824,Miles,"My stay at Bill's was unlike any other! From the cheerful and upbeat decorum of the host to the amazing room, I was very impressed. The feel of the space was like a 5 star hotel suite, complete with an incredible en suite. As soon as we entered the space my girlfriend and I both agreed that we will be back again 😁. Thanks again Bill for an amazing stay!"
23038138,1121854186430551248,2024-03-27,33829391,Brian,"The place was very clean and well done, super comfy!  Will definitely stay again!"
57187,489916371,2019-07-17,254327831,Victoria,"Had a wonderful time with friends. It’s comfy, colorful, and very close to fun!"
15942648,155670738,2017-05-28,15315089,Roberto,"Nancy was very thorough throughout the process, from confirmation to check out. The apartment was very clean and well stocked and in a great area of Austin. It is very close to a supermarket, bakery and liquor store and you can reach downtown on foot.<br/>We could sometimes hear the upstairs neighbor, but this is to be expected in a city apartment.<br/>Overall, our experience was wonderful and the property was exactly as described."
1462311,151018622,2017-05-10,113300210,Kait,Highly recommend!  Great location for restaurants & shopping.  Chris is an engaged host and took the time to make us feel more than welcome and had great suggestions for places to check out during our stay :-) 
29302404,993596888894124943,2023-10-02,11771452,Erica,Had everything we needed in a perfect location. Very accommodating hosts!
23038138,877525037449507971,2023-04-25,473021855,Katelyn,Such a perfect place to stay in Austin! Super spacious with great amenities!
852247306479211711,1469766758406697659,2025-07-20,270578502,Ashley,"Great area with lots of things to do. Very spacious backyard and comfortable rooms. Only issue was that some of utilities wouldn’t work like the main bedroom fan and a doorknob coming undone. Other than that, great place and would recommend! I do wish more bath towel were provided."
23468465,1284269245070213227,2024-11-06,207535538,Alfredo,It was a delightful staying. I wish I could have stayed a couple of days more to relax and enjoy the cozy little house! I’ll definitely try to stay again in my next opportunity. My wife loved the stay too. Kenny and Whiskey the cat were amazing hosts. 5 stars! ⭐️
782618337171518178,886299437964090591,2023-05-07,425587370,Jm,Good option and location for UT busy weekends!
