id,listing_url,name,description,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathrooms_text,price,minimum_nights,maximum_nights,instant_bookable,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities
57187,https://www.airbnb.com/rooms/57187,"An Austin ""Weird"" Home in Peaceful Zilker Park","Less than one mile to Zilker Park ---stay near everything cool in Austin including Barton Springs Pool.  The Peaceful Haven is a spiritual retreat from your busy day or a crash pad at the end of the night. If location, peace, color, comfort and unique art matter you will love my space.  This space is behind my house which was on Austin's Weird Homes tour five times. A social media dream filled with color and no lack of mermaids with an ocean scene to greet you. <br /><br />READ BELOW.",272156,Lois,2010-10-27,"Austin, TX",within an hour,100%,99%,t,1.0,78704,30.25756,-97.76995,Entire guesthouse,Entire home/apt,6,1.0,3.0,1 bath,$150.00,1,365,t,8,38,68,335,1090,26,0,2011-01-02,2025-08-16,4.91,4.94,4.93,4.96,4.97,4.95,4.82,6.09,"[""Private patio or balcony"", ""AC - split type ductless system"", ""Iron"", ""Private entrance"", ""Hot water"", ""Refrigerator"", ""Free parking on premises"", ""Wifi"", ""Heating"", ""Hair dryer"", ""Smoke alarm"", ""Essentials"", ""Luggage dropoff allowed"", ""Books and reading material"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Shampoo"", ""Coffee maker"", ""Free street parking"", ""Shared backyard""]"
202187,https://www.airbnb.com/rooms/202187,South Congress Apartment,,989596,John,2011-08-18,"Austin, TX",within an hour,100%,100%,t,2.0,78704,30.24867,-97.74678,Entire guesthouse,Entire home/apt,2,1.0,2.0,1 bath,$72.00,1,21,t,6,9,20,210,1133,81,2,2011-09-26,2025-09-02,4.88,4.93,4.83,4.96,4.92,4.98,4.9,6.66,"[""Coffee"", ""Wine glasses"", ""Iron"", ""Single level home"", ""Hot water"", ""Dishes and silverware"", ""Refrigerator"", ""Freezer"", ""Wifi"", ""Hot water kettle"", ""Heating"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""TV"", ""Smoke alarm"", ""Essentials"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Fire extinguisher"", ""Shampoo"", ""Extra pillows and blankets"", ""Coffee maker"", ""Toaster"", ""Carbon monoxide alarm"", ""Free street parking"", ""Microwave"", ""Kitchen"", ""Hangers""]"
240541,https://www.airbnb.com/rooms/240541,Stay in the Birdhouse! East/Downtow,"Small private studio in the backyard of an east side bungalow.  An original “tiny home” in Austin that provided artist residency. Rustic and small but all you need for a close, affordable Eastside/Downtown experience. Quiet neighborhood. Fits one comfortably, two intimately. Walking/biking distance to downtown and east side bars and eateries. <br />Blocks to Lake trails. Pls read before booking.",1246229,Elizabeth,2011-10-04,"Austin, TX",within an hour,100%,98%,f,3.0,78702,30.25424,-97.72587,Entire guesthouse,Entire home/apt,2,1.0,1.0,1 bath,$45.00,1,15,f,13,23,23,107,948,77,3,2012-02-21,2025-09-02,4.64,4.74,4.62,4.85,4.88,4.85,4.71,5.74,"[""Private patio or balcony"", ""Iron"", ""Hot water"", ""Dishes and silverware"", ""Refrigerator"", ""Free parking on premises"", ""Wifi"", ""Heating"", ""Hair dryer"", ""Cooking basics"", ""Long term stays allowed"", ""Window AC unit"", ""Essentials"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Shampoo"", ""Coffee maker"", ""Free street parking"", ""Kitchen"", ""Hangers""]"
333815,https://www.airbnb.com/rooms/333815,Solar Sanctuary - Austin Room,"Welcome to my home! You couldn't ask for a better location...I'm 1/2 a mile from downtown & the river, there are amazing food trailers all around, & many cool shops & restaurants on S. 1st St & S. Congress (SOCO)...all within walking distance! Bouldin Creek runs through my backyard & there is a short trail through the woods on the other side. It's fun just to walk around & look at the eclectic mix of housing styles in my area. 78704 is the best!!",372962,Kim,2011-02-01,"Austin, TX",within a few hours,100%,100%,t,1.0,78704,30.25381,-97.75262,Private room in home,Private room,2,1.0,1.0,1.5 baths,$102.00,2,30,f,11,37,67,157,202,15,0,2012-04-01,2025-07-21,4.93,4.95,4.92,4.97,4.96,4.87,4.86,1.23,"[""Coffee"", ""Stove"", ""First aid kit"", ""Bathtub"", ""Wine glasses"", ""Iron"", ""Blender"", ""Ceiling fan"", ""Shared sauna"", ""Outdoor furniture"", ""Hot water"", ""Shower gel"", ""Indoor fireplace: gas"", ""Free driveway parking on premises \u2013 1 space"", ""Dishes and silverware"", ""Conditioner"", ""Refrigerator"", ""Clothing storage: closet"", ""Freezer"", ""Self check-in"", ""Dining table"", ""Keypad"", ""Portable fans"", ""Hot water kettle"", ""Heating"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""Patio or balcony"", ""Oven"", ""Dryer"", ""Smoke alarm"", ""Washer"", ""Lock on bedroom door"", ""Essentials"", ""Luggage dropoff allowed"", ""Books and reading material"", ""Air conditioning"", ""Fire extinguisher"", ""BBQ grill"", ""Shampoo"", ""Extra pillows and blankets"", ""Coffee maker"", ""Toaster"", ""Carbon monoxide alarm"", ""Fast wifi \u2013 89 Mbps"", ""Free street parking"", ""Kitchen"", ""Backyard"", ""Hangers""]"
349447,https://www.airbnb.com/rooms/349447,"Eastside Cabana - Near UT,Downtown","Welcome to the hip, unique and beautiful Eastside Cabana located in the heart of East Austin.  Be close to everything this city has to offer while staying in a modern and airy home with many amenities and unique features.",1770424,Jason,2012-02-18,"Austin, TX",within an hour,99%,100%,t,8.0,78702,30.27871,-97.72332,Entire bungalow,Entire home/apt,4,1.0,1.0,1 bath,$122.00,1,1124,t,13,28,56,326,1039,76,2,2012-03-18,2025-08-21,4.84,4.89,4.83,4.96,4.95,4.79,4.76,6.32,"[""Coffee"", ""Stove"", ""Cleaning products"", ""Wine glasses"", ""TV with standard cable"", ""Iron"", ""Private entrance"", ""Ceiling fan"", ""Smart lock"", ""Outdoor furniture"", ""Dishwasher"", ""Hot water"", ""Shower gel"", ""Dishes and silverware"", ""Conditioner"", ""Refrigerator"", ""Clothing storage: closet"", ""Freezer"", ""Self check-in"", ""Free parking on premises"", ""Portable fans"", ""Wifi"", ""Hot water kettle"", ""Heating"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""Long term stays allowed"", ""Baking sheet"", ""Patio or balcony"", ""Window AC unit"", ""Oven"", ""Dryer"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Essentials"", ""Safe"", ""Dedicated workspace"", ""Fire extinguisher"", ""Shampoo"", ""Body soap"", ""Extra pillows and blankets"", ""Coffee maker"", ""Private backyard \u2013 Fully fenced"", ""Carbon monoxide alarm"", ""Free street parking"", ""Microwave"", ""Kitchen"", ""Hangers""]"
620532,https://www.airbnb.com/rooms/620532,French Place Studio,"This backyard studio is a 400 sf stand alone building in French Place, a beautiful central neighborhood of Austin covered in Pecan, Live Oak and Cedar Elm trees.<br /><br />The studio has stained concrete floors, full bathroom w birch wood floor, lofted ceiling, large windows, contemporary kitchen with wood cabinets, butcher block counter, and deep sink.  Appliances include a frig, microwave, full stove and oven., washer and dryer, 40"" flat screen with streaming services for Netflix and Amazon Prime.",806961,James,2011-07-11,"Austin, TX",within an hour,100%,98%,t,2.0,78722,30.29087,-97.71979,Entire guesthouse,Entire home/apt,2,1.0,1.0,1 bath,$55.00,30,365,f,28,44,44,44,23,0,0,2012-11-01,2023-07-31,4.96,5.0,5.0,4.96,4.91,5.0,4.86,0.15,"[""Private patio or balcony"", ""Stove"", ""Bathtub"", ""Iron"", ""Private entrance"", ""Single level home"", ""Pets allowed"", ""Hot water"", ""Dishes and silverware"", ""Refrigerator"", ""Wifi"", ""Heating"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""TV"", ""Long term stays allowed"", ""Baking sheet"", ""Oven"", ""Dryer"", ""Smoke alarm"", ""Washer"", ""Essentials"", ""Ethernet connection"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Free street parking"", ""Carbon monoxide alarm"", ""Microwave"", ""Kitchen"", ""Backyard"", ""Hangers""]"
705858,https://www.airbnb.com/rooms/705858,Walk to SOCO from Your Retreat with Heated Pool,"Presenting The Retreat.  Surround yourself with curated artwork, vintage objects and dreamy furnishings.  <br />The award-winning Retreat was recognized by internationally known AFAR Media as one of the top Airbnb’s in the World.  And featured in the 2023 Austin modern home tour.  <br />Take a dip in a waterfall salt water pool. Perfect for cooling off in summer and heated during the winter!  <br />Just four blocks to vibrant South Congress, <br />And No Cleaning Fees!  No Chores!  Just like it should be.",3626574,Bill,2012-09-20,"Austin, TX",within an hour,100%,100%,t,6.0,78704,30.24654,-97.74713,Entire home,Entire home/apt,2,1.0,1.0,1 bath,$226.00,1,14,t,18,39,69,334,1060,88,8,2012-11-07,2025-09-12,4.96,4.95,4.9,4.99,4.98,4.97,4.9,6.77,"[""Stove"", ""First aid kit"", ""Coffee maker: espresso machine"", ""TV with standard cable"", ""Iron"", ""Outdoor furniture"", ""Dishwasher"", ""Hot water"", ""Dishes and silverware"", ""Refrigerator"", ""Self check-in"", ""Keypad"", ""Wifi"", ""Heating"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""Patio or balcony"", ""Smoke alarm"", ""Essentials"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Shampoo"", ""Body soap"", ""Extra pillows and blankets"", ""Backyard"", ""Free street parking"", ""Carbon monoxide alarm"", ""Pool"", ""Microwave"", ""Kitchen"", ""Board games"", ""Hangers""]"
733203,https://www.airbnb.com/rooms/733203,Elegant Historic Estate: Professionally Designed.,"This stunning historic estate is the epitome of elegance and sophistication. Combining timeless charm with modern luxury, offering a unique alternative to a traditional hotel stay. The spacious interiors boast high ceilings, ornate moldings, and elegant furnishings, making it the perfect backdrop for both relaxation and entertainment.  Walkable to world famous restaurants and wild night life, make your celebration unforgettable.<br />*Grocery delivery.<br />*Party Decorating Service.<br />*No check out chores.",3820555,Justin,2012-10-10,"Austin, TX",within an hour,100%,100%,t,3.0,78702,30.27221,-97.72846,Entire home,Entire home/apt,14,5.0,8.0,2 baths,$322.00,2,330,t,27,43,66,75,341,25,3,2012-10-29,2025-09-14,4.96,4.96,4.91,4.96,4.97,4.83,4.86,2.17,"[""Private patio or balcony"", ""Stove"", ""Housekeeping available every day - available at extra cost"", ""Cleaning products"", ""First aid kit"", ""Bathtub"", ""TV with Netflix"", ""Iron"", ""Wine glasses"", ""Blender"", ""Pets allowed"", ""Outdoor furniture"", ""Dishwasher"", ""Hot water"", ""Shower gel"", ""Dishes and silverware"", ""Conditioner"", ""Refrigerator"", ""Freezer"", ""Self check-in"", ""Dining table"", ""Free parking on premises"", ""Keypad"", ""Clothing storage: closet, wardrobe, and dresser"", ""Wifi"", ""Hot water kettle"", ""Heating"", ""Hair dryer"", ""Outdoor dining area"", ""Bed linens"", ""Cooking basics"", ""Long term stays allowed"", ""Baking sheet"", ""Oven"", ""Sound system"", ""Dryer"", ""Smoke alarm"", ""Washer"", ""Essentials"", ""Luggage dropoff allowed"", ""Books and reading material"", ""Air conditioning"", ""Dedicated workspace"", ""Fire extinguisher"", ""Fire pit"", ""Barbecue utensils"", ""BBQ grill"", ""Bidet"", ""Shampoo"", ""Body soap"", ""Extra pillows and blankets"", ""Coffee maker"", ""Toaster"", ""Carbon monoxide alarm"", ""Backyard"", ""Microwave"", ""Free street parking"", ""Kitchen"", ""Board games"", ""Hangers""]"
949922,https://www.airbnb.com/rooms/949922,"Vintage Airstream in East Austin, Texas","Our vintage airstream located in our backyard garden is your own private oasis.  Full bed, hardwood floors, clawfoot bathtub, high-speed internet, and a 1/2 acre lot right outside your door--complete with a rooster, chickens, cat, and two pigs.",5152543,Marcella,2013-02-19,"Austin, TX",within an hour,100%,100%,t,2.0,78723,30.29757,-97.68266,Camper/RV,Entire home/apt,2,1.0,1.0,1 bath,$65.00,1,1125,f,1,11,38,302,1268,52,2,2013-02-26,2025-08-21,4.9,4.93,4.9,4.95,4.91,4.79,4.89,8.29,"[""Cleaning products"", ""Bathtub"", ""Iron"", ""Ping pong table"", ""Outdoor furniture"", ""Hot water"", ""Shower gel"", ""Dishes and silverware"", ""Conditioner"", ""Self check-in"", ""Free parking on premises"", ""Portable fans"", ""Wifi"", ""Outdoor dining area"", ""Heating"", ""Hair dryer"", ""Bed linens"", ""Long term stays allowed"", ""Mini fridge"", ""Essentials"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Fire pit"", ""Barbecue utensils"", ""BBQ grill"", ""Lockbox"", ""Shampoo"", ""Extra pillows and blankets"", ""Coffee maker"", ""Backyard"", ""Free street parking"", ""Microwave"", ""Board games""]"
956708,https://www.airbnb.com/rooms/956708,Apartment in the trees/ Hyde Park,"Light, airy, comfortable and modern space.",5176737,Erika,2013-02-21,"Austin, TX",within a few hours,100%,100%,f,1.0,78751,30.30958,-97.72947,Entire rental unit,Entire home/apt,3,1.0,1.0,1 bath,$60.00,60,240,f,0,0,1,259,16,2,1,2013-03-16,2025-08-26,4.93,5.0,4.73,4.94,5.0,4.87,4.6,0.11,"[""Stove"", ""Cleaning products"", ""Wine glasses"", ""Iron"", ""Private entrance"", ""Ceiling fan"", ""Dishwasher"", ""Hot water"", ""Dishes and silverware"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Dining table"", ""Wifi"", ""Hot water kettle"", ""Heating"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""TV"", ""Long term stays allowed"", ""Oven"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Essentials"", ""Air conditioning"", ""Dedicated workspace"", ""Fire extinguisher"", ""Lockbox"", ""Shampoo"", ""Extra pillows and blankets"", ""Coffee maker"", ""Free street parking"", ""Carbon monoxide alarm"", ""Microwave"", ""Kitchen"", ""Hangers"", ""Free dryer \u2013 In unit""]"
